metric_group,category,value,percentage,highlight_value,highlight_percentage,dataset_name
Tipos de Clase Guías,Sitio,87.0,0.0103,1,0.0001,tipos_clase_guias
Tipos de Clase Guías,Especializado en Escalada en Roca (con certificación nacional o internacional),45.0,0.0053,2,0.0002,tipos_clase_guias
Tipos de Clase Guías,General,4652.0,0.5491,136,0.0161,tipos_clase_guias
